Listo. Formato de comando: <etiqueta> <numero_de_ventanas>
Ejemplo: reposo 20
Listo. Formato de comando: <etiqueta> <numero_de_ventanas>
Ejemplo: reposo 20
INICIO_VENTANA reposo
ax,ay,az,gx,gy,gz
0.0417,-1.0219,0.0602,-14.8926,-3.0518,18.1885
-0.1245,-0.9464,-0.0021,-80.3223,1.0376,25.5737
0.0361,-0.9979,0.0907,35.9497,-7.6294,-5.1270
-0.0361,-1.0450,0.0732,4.5166,-5.6152,1.2817
0.0930,-0.9901,0.0687,-3.6621,-7.9956,12.2681
0.1669,-1.0135,0.1294,-54.9316,-8.5449,15.2588
0.0173,-1.3583,0.1766,-144.7144,25.5737,-18.0054
0.0980,-0.9235,0.1926,-72.2656,-10.0098,1.7090
-0.0581,-1.0005,0.2164,39.5508,-12.2681,6.8359
0.0854,-1.0300,0.1676,100.0977,-10.3149,-3.9062
0.1455,-0.9723,0.1873,9.3994,-10.2539,-16.6626
-0.0365,-0.9678,0.1138,202.9419,-20.8740,-20.2026
-0.3018,-0.9751,-0.0382,76.2939,-70.4346,-23.3154
-0.2208,-1.1758,0.0471,73.3032,36.3770,-21.2402
0.6797,-1.0151,-0.0735,67.9321,8.4229,4.2725
-0.1608,-0.9161,-0.1677,289.9170,-12.6343,6.0425
-0.3386,-0.9999,-0.4968,351.2573,10.9253,-2.8076
-0.0125,-0.7971,-0.6262,196.8384,-5.7983,-8.1787
-0.1588,-0.8671,-0.3933,11.4136,-38.6353,-26.3672
0.0986,-0.9609,-0.5505,-39.6729,-3.7842,-11.4136
0.1578,-0.7980,-0.3042,-113.7085,-23.6206,7.5073
-0.1752,-1.0183,-0.3463,-42.7856,-8.9111,1.4648
-0.0101,-0.9567,-0.4083,-58.7769,-3.2959,3.8452
-0.0171,-1.0214,-0.3014,-320.8618,-16.9067,-4.0283
-0.0944,-0.9884,0.4705,-327.0874,41.3818,-10.4980
-0.1101,-0.9664,0.4203,-303.1616,170.2881,-8.3008
-0.2233,-1.5045,0.3423,-122.8638,221.3135,18.1885
0.0103,-1.4491,0.2842,-96.0693,241.5161,67.7490
-0.0209,-0.9673,0.0251,-111.8774,144.2261,46.7529
0.2278,-0.6411,-0.0032,-132.5073,69.6411,21.4233
0.2661,-0.9652,0.2734,-121.7651,-8.6060,-22.8882
0.3584,-1.2742,0.7601,-96.6187,-38.0859,-11.9019
0.0875,-0.8853,0.6456,-143.6157,50.2319,67.6880
0.3026,-0.4332,0.1825,-98.6938,82.2144,116.7603
0.2013,-0.4991,0.6234,-140.2588,33.8745,37.2925
0.2642,-0.6968,0.5565,-140.0757,2.0752,27.8931
0.2173,-0.5535,0.6079,-43.6401,-28.8086,12.2681
0.1742,-0.4375,0.5420,-53.2837,4.9438,-15.5640
0.2834,-0.5770,0.5920,-28.8696,-55.6030,-47.8516
0.2725,-0.7025,0.9343,-29.7852,-72.5098,-61.2793
0.0850,-0.4148,0.6731,-22.2168,-52.5513,-87.8296
0.1530,-0.6409,0.7356,-20.6909,-73.7305,-109.3140
0.0999,-0.7089,0.9946,-39.9780,-91.0034,-85.6934
-0.0524,-0.6487,1.0491,-53.4668,-53.5889,-66.4673
-0.0372,-0.6895,0.9935,-45.5322,-30.6396,-50.0488
-0.2058,-0.6398,0.8579,-4.9438,60.9741,-1.3428
0.0045,-0.6342,0.7949,-61.2183,79.9561,60.7910
0.1038,-0.3857,0.7491,-13.3057,12.5732,66.0400
0.0286,-0.4435,0.9916,-36.6821,-18.5547,19.5923
0.0594,-0.4064,0.9625,6.5308,1.0376,14.2212
0.0226,-0.4364,0.9644,11.3525,6.5308,0.3052
0.0261,-0.4244,0.9652,39.7949,18.0664,-2.5024
0.1001,-0.5374,0.8505,34.3628,22.3999,-2.1362
0.0686,-0.5251,0.8768,-16.5405,-8.1787,15.3809
0.0140,-0.4552,0.9393,-23.1323,-6.3477,9.5825
0.0560,-0.4772,0.8793,-38.5742,-14.5264,17.5171
0.1854,-0.2986,1.1774,-88.7451,-42.3584,41.3208
0.0280,-0.7793,0.7971,93.1396,-7.0190,18.8599
0.0310,-0.1714,1.0299,53.1006,-45.7764,79.5288
-0.0535,-0.4233,1.0200,-13.4277,-41.6260,0.0000
-0.1025,-0.3711,1.1348,8.3618,-37.1094,2.7466
-0.0137,-0.4434,0.9537,12.8784,-4.8218,1.3428
0.0020,-0.4702,0.9253,9.2773,-2.1362,8.0566
-0.0540,-0.4523,0.9346,-2.9297,-7.9956,6.1035
-0.0529,-0.4558,0.9357,-2.5024,-8.1177,4.3945
-0.1080,-0.4447,0.9318,6.4697,-10.0098,3.2349
0.0331,-0.4753,0.9235,2.5635,-5.2490,3.2349
-0.0277,-0.4587,0.9148,2.8687,-6.1035,5.5542
-0.0275,-0.4512,0.9205,5.2490,1.0376,7.6904
-0.1024,-0.4417,0.9218,10.0708,11.0474,12.8784
0.0231,-0.4778,0.9238,13.1226,18.7988,14.8315
-0.0187,-0.4415,0.9530,5.0049,0.9155,4.3945
-0.0151,-0.4580,0.9313,-1.3428,1.0986,3.5400
-0.0212,-0.4510,0.9377,-1.0986,1.1597,3.5400
-0.0465,-0.4458,0.9279,0.3052,1.2207,5.6152
-0.0240,-0.4274,0.9594,4.8218,-1.2817,10.8032
-0.0006,-0.4264,0.9258,4.6997,2.3193,5.3711
-0.0306,-0.4606,0.9285,3.7842,-0.3052,-1.4648
-0.0392,-0.4423,0.9319,1.4038,2.4414,0.0610
-0.0137,-0.4354,0.9456,1.2207,1.6479,1.1597
-0.0117,-0.4425,0.9354,2.9297,2.2583,0.0000
-0.0182,-0.4504,0.9305,0.6714,2.3193,0.9155
-0.0245,-0.4467,0.9491,-2.1973,0.8545,4.5776
-0.0062,-0.4178,0.9414,-3.9062,3.5400,6.1035
-0.0155,-0.4282,0.9366,-3.9673,-0.0610,0.6104
-0.0282,-0.4253,0.9510,-5.0659,3.5400,6.2866
-0.0371,-0.4418,1.0089,-0.4272,13.1226,9.4604
0.0303,-0.4049,0.9098,2.3193,19.4702,8.3008
0.0073,-0.4097,0.9364,-8.7891,-1.4648,-5.0659
-0.0260,-0.4086,0.9784,-11.5967,3.6011,-4.0283
-0.0023,-0.3932,0.9659,-8.7280,21.9727,1.2817
0.0314,-0.3824,0.9153,-9.5215,10.1318,1.2207
-0.0054,-0.3732,0.9877,-10.3760,-6.9580,-1.3428
0.0107,-0.3605,0.9623,-10.9863,6.5918,7.9956
0.0107,-0.3478,0.9698,-11.3525,-2.6855,4.3945
0.0054,-0.3527,0.9695,-12.0239,-0.4883,2.3804
0.0034,-0.3452,0.9622,-17.4561,-3.1738,4.3945
-0.0073,-0.3158,0.9949,-24.1699,-3.9062,6.7139
-0.0098,-0.2953,1.0033,-22.5830,6.2866,11.4136
0.0112,-0.3270,0.9561,-8.8501,15.3198,12.0850
FIN_VENTANA
INICIO_VENTANA reposo
0.0001,-0.2941,0.9927,16.8457,4.0894,-7.8125
0.0002,-0.2882,0.9968,11.0474,1.8311,-5.1270
-0.0010,-0.3018,0.9855,12.3291,2.0752,-7.5073
-0.0001,-0.2694,0.9761,2.1362,1.5259,-5.7983
-0.0082,-0.2863,0.9862,3.2349,-6.1646,-19.5313
-0.0636,-0.2023,0.8994,-9.9487,-4.2114,-14.7705
-0.0223,-0.2712,0.9919,-48.4619,11.5356,-41.0767
